順位,名前,動画,レス,pixiv,検索,得点,前回
310,バイトの人,1,3,0,19500,22,508
311,権藤剛,11,3,9,153,22,375
312,MRKMR,17,9,0,79,22,324
313,ユウ君,11,0,10,505,22,545
314,SNJ弟,14,10,2,230,21,308
315,仁(ALMAZ),21,0,0,45,21,269
316,HGC,15,0,3,3010,21,
317,NKI,17,7,0,433,21,318
318,文吾,10,12,3,1840,21,341
319,ゴロリ(淫夢),15,11,0,306,21,360
320,HRS,8,0,4,8770,21,
321,身体大気弱兄,17,7,0,143,21,319
322,拷問親父,19,3,0,125,21,257
323,YMSK,20,0,0,322,20,225
324,YUIC,18,4,0,232,20,333
325,ボンバーライオンさん,15,10,0,167,20,292
326,修復後のキリスト,7,24,1,159,20,325
327,TMBK,18,3,0,221,20,276
328,二軍淫夢のエース,12,15,0,106,20,313
329,座敷童子(淫夢),14,11,0,66,20,304
330,顔が変な人のついでに発掘された人,4,30,0,65,19,272
331,コネスケ,16,3,1,394,19,
332,ホモビ戦士,6,25,0,298,19,296
333,フィンランドハーフ兄貴,15,7,0,282,19,323
334,タカシィ,18,1,0,141,19,314
335,AIZW,18,1,0,85,19,473
336,TMNG,4,27,0,941,18,307
337,i-modeタクヤ君,17,2,0,333,18,282
338,モザイク姉貴,9,16,1,156,18,303
339,ワッキー(精子舐めがいやらしい),6,24,0,50,18,327
340,SYK姉貴,9,17,0,538,18,344
341,小雪(淫夢),9,17,0,406,18,311
342,星の仲間,2,10,0,10800,18,346
343,スカイフィッシュくん,9,7,5,270,18,258
344,真・肉体派食パンマン,3,29,0,260,18,
345,外伝君,15,3,1,200,18,365
346,玉木修,16,3,0,152,18,330
347,ソーナノ(淫夢),11,13,0,112,18,348
348,櫻井翔(淫夢),14,7,0,75,18,260
349,豊田力,16,3,0,52,18,359
350,NT兄,15,2,1,270,17,315
351,ルイージ(淫夢),16,2,0,264,17,357
352,灼熱君,5,2,11,197,17,384
353,ART(淫夢),11,12,0,174,17,335
354,NKTIDDKSG,9,15,0,288,17,367
355,TKUC,16,1,0,286,17,347
356,食パンマン(淫夢),13,5,1,197,17,
357,ハヤト先輩,12,7,1,167,17,339
358,中田(淫夢),13,7,0,128,17,378
359,ウェスカー(淫夢),15,3,0,93,17,334
360,ノブアキ(トランペッター),12,9,0,68,17,328
361,斉藤ゆたか,15,2,0,566,17,
362,すごい高くて日本じゃ手に入らないバラ,9,14,0,549,17,236
363,カズヤ(淫夢),13,6,0,104,16,289
364,日本男児兄貴,10,11,0,303,16,401
365,しょうこちゃん,5,10,5,787,16,297
366,神野大二郎,14,3,0,29,16,
367,MRSK,14,0,1,289,15,510
368,鈴木実,13,4,0,255,15,388
369,精子を出していただいたお客様,4,22,0,74,15,
370,マジメ君のライバル(SP),14,2,0,43,15,354
371,櫂(ALMAZ),14,0,1,41,15,316
372,体育教師(淫夢),13,3,0,115,15,255
373,臨死体験親父,5,19,0,36,15,
374,偽軍畑先輩,13,2,0,250,14,377
375,近藤靖浩,13,2,0,242,14,393
