順位,名前,動画,BB,レス,pixiv,前回,得点
316,二軍淫夢のエース,12,3,15,0,313(-3),15.8
316,ウェスカー(淫夢),15,1,3,0,334(+18),15.8
316,外伝君,14,0,3,1,365(+49),15.8
321,斉藤ゆたか,15,1,2,0,New!!,15.5
322,櫂(ALMAZ),14,0,1,1,316(-6),15.3
322,食パンマン(淫夢),13,3,5,1,New!!,15.3
324,ハヤト先輩,12,2,7,1,339(+15),14.8
324,中田(淫夢),13,0,7,0,378(+54),14.8
326,カズヤ(淫夢),13,6,6,0,289(-37),14.5
326,マジメ君のライバル(SP),14,9,2,0,354(+28),14.5
328,ノブアキ(トランペッター),12,1,9,0,328(±0),14.3
328,ソーナノ(淫夢),11,2,13,0,348(+20),14.3
328,OKD(淫夢),14,1,1,0,364(+36),14.3
331,モザイク姉貴,9,1,16,1,303(-28),14
331,修復後のキリスト,7,2,24,1,325(-6),14
331,ホワイトマン,12,1,8,0,355(+24),14
331,鈴木実,13,0,4,0,388(+57),14
335,モルダー(淫夢),13,4,2,0,362(+27),13.5
335,偽軍畑先輩,13,2,2,0,377(+42),13.5
335,近藤靖浩,13,0,2,0,393(+58),13.5
338,小雪(淫夢),9,1,17,0,311(-27),13.3
338,SYK姉貴,9,1,17,0,344(+6),13.3
340,ART(淫夢),10,2,12,0,335(-5),13
340,文吾,10,2,12,0,341(+1),13
340,TKZW,10,1,0,3,423(+83),13
343,体育教師(淫夢),12,1,3,0,255(-88),12.8
343,KBT,12,1,3,0,350(+7),12.8
343,NKTIDDKSG,9,0,15,0,367(+24),12.8
346,山本竜二,12,0,2,0,112(-234),12.5
346,ヒデ(筋肉黄金期),9,1,14,0,236(-110),12.5
346,堀川雷鼓(淫夢),11,1,6,0,371(+25),12.5
350,ホモビ戦士,6,0,25,0,296(-54),12.3
351,ワッキー(精子舐めがいやらしい),6,1,24,0,327(-24),12
351,田中(迫真先生),12,4,0,0,407(+56),12
353,TMNG,4,1,27,1,307(-46),11.8
353,TDN弟,9,3,7,1,369(+16),11.8
353,無らい,10,1,3,1,370(+17),11.8
353,OOHT,11,0,3,0,373(+20),11.8
353,OSD,10,2,7,0,458(+105),11.8
358,顔が変な人のついでに発掘された人,4,1,30,0,272(-86),11.5
358,GONTA,10,5,6,0,366(+8),11.5
358,TNKDISK,11,2,2,0,396(+38),11.5
358,日本男児兄貴,9,3,10,0,401(+43),11.5
358,山本ルーカス,11,1,2,0,409(+51),11.5
363,川崎京一,11,1,1,0,284(-79),11.3
363,MASARU(B+B),10,0,5,0,New!!,11.3
365,極道熊,9,2,4,1,286(-79),11
365,近藤P,10,0,4,0,322(-43),11
365,極道兄貴,8,1,12,0,332(-33),11
365,スタッフ中井,10,1,4,0,356(-9),11
369,渉(淫夢),10,1,3,0,295(-74),10.8
369,K2兄貴,10,1,3,0,372(+3),10.8
369,権藤剛,10,0,3,0,375(+6),10.8
369,変態親父,7,0,7,2,426(+57),10.8
373,ピエール瀧(淫夢),9,0,6,0,395(+22),10.5
374,ピポサルくん,9,1,5,0,391(+17),10.3
374,小籔千豊(淫夢),3,0,29,0,New!!,10.3
377,久保帯人(淫夢),7,3,12,0,343(-34),10
377,OKB君,8,0,8,0,382(+5),10
377,MSW(淫夢),10,1,0,0,397(+20),10
377,KGR,10,0,0,0,497(+120),10
381,DRVS弟,9,2,3,0,400(+19),9.8
381,臨死体験親父,5,0,19,0,New!!,9.8
381,焦げた食パンマン,8,3,3,1,New!!,9.8
384,まもるっ,6,0,6,2,353(-31),9.5
384,メガデス戦闘員,5,3,2,4,374(-10),9.5
384,北関東チャラ男,8,2,6,0,385(+1),9.5
384,SRIKNZU(鎮念),8,2,6,0,398(+14),9.5
384,坂本副機長,9,1,2,0,418(+34),9.5
389,優雅(淫夢),8,0,5,0,331(-58),9.3
389,どんちゃん(淫夢),9,0,1,0,402(+13),9.3
389,RYO(淫夢),9,0,1,0,436(+47),9.3
